lead_id,organization_id,feature_version,created_by,company_size_score,industry_complexity_score,software_gap_score,operational_system_score,customization_potential_score,average_response_time,response_time_score,days_since_last_outbound,engagement_decay_penalty,ai_intent_category_score,buying_stage_score,customer_initiative_score,engagement_trend_score
33dcbba9-200f-4aa7-bacc-c55a2cef940f,19f19323-f683-4e67-af16-857437e0d057,v1_real,,60,95,100,0,48,,0,0,0,,50,30,50
4b749cd2-5a70-4786-acdf-655689fc1ab5,19f19323-f683-4e67-af16-857437e0d057,v1_real,,90,95,100,0,48,,0,0,0,,50,30,50
